acceptedPaymentMethod,addressCountry,addressLocality,aggregateRating,alternateName,areaServed,availableSpotNumber,chargingStations,closingHours,contactPointEMail,contactPointTelephone,dayEnd,dayStart,description,district,facilities,familyParkingSpots,forbiddenVehicleType,fullParkingSiteId,goodwillPeriodInMinutes,googlePlaceId,handicappedParkingSpots,highestFloor,images,lat,location,location_centroid,lon,lowestFloor,maximumAllowedHeight,maximumAllowedWidth,maximumParkingDuration,name,numberOfPayingStations,observationDateTime,occupiedSpotNumber,openingHours,outOfServiceSlotNumber,parkingSiteId,parking_type,postalCode,priceModelValidFor24h,prices,provider,specialLocation,staticName,staticParkingSiteId,staticStatus,staticTotalSpotNumber,status,streetAddress,streetAddressDriveway,streetAddressExit,totalAvailableSpotNumber,totalSpotNumber,trend,website,womenParkingSpots
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1 Poststrasse,,2023-07-10T03:35:00.000+00:00,12.0,,,1,,,,,,,,,,,Offen,,,,,528.0,0.0,,
,,,2.2727273,Poststraße,Zentrum,516.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T03:39:00.000+00:00,12.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.2727273,Poststraße,Zentrum,516.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T03:44:00.000+00:00,12.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1 Poststrasse,,2023-07-10T03:45:00.000+00:00,12.0,,,1,,,,,,,,,,,Offen,,,,,528.0,0.0,,
,,,2.2727273,Poststraße,Zentrum,516.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T03:49:01.000+00:00,12.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.2727273,Poststraße,Zentrum,516.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T03:54:00.000+00:00,12.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.6515152,Poststraße,Zentrum,514.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T03:59:00.000+00:00,14.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.6515152,Poststraße,Zentrum,514.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T04:04:00.000+00:00,14.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.6515152,Poststraße,Zentrum,514.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T04:09:00.000+00:00,14.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.840909,Poststraße,Zentrum,513.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T04:14:00.000+00:00,15.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1 Poststrasse,,2023-07-10T04:15:00.000+00:00,15.0,,,1,,,,,,,,,,,Offen,,,,,528.0,0.0,,
,,,3.030303,Poststraße,Zentrum,512.0,,,,,,,increasing,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T04:19:00.000+00:00,16.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,3.030303,Poststraße,Zentrum,512.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T04:24:00.000+00:00,16.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
